name,nationality,sport
Cornel Durău,NULL,Handball player
Karen Shelton,NULL,Field hockey player
Kazimierz Adach,NULL,Polish boxer
Keena Rothhammer,Little Rock Arkansas,American swimmer Olympic gold medalist former world record-holder
Keith Connor,NULL,British athlete
Ion Bîrlădeanu,NULL,Canoe racer
Irada Ashumova,NULL,Azerbaijani sport shooter
Július Strnisko,NULL,Czechoslovak wrestler
Jānis Ķipurs,NULL,Bobsledder
Ellen Fiedler,Demmin,German hurdler
Thomas Happe,NULL,Handball player
Lucie Guay,NULL,Canoe racer
Lyudmila Kondratyeva,Soviet Union,Soviet sprint athlete
Graeme Brewer,New South Wales,Swimmer
Hans Enn,NULL,Alpine skier
Wolfgang Funkel,{Neuss|West Germany},German football player and manager
Yuko Mitsuya,NULL,Volleyball player
Zhang Peijun,NULL,Chinese handball player
Zintis Ekmanis,NULL,Bobsledder
Gaétan Boucher,Charlesbourg Quebec City,Speed skater
Gary Oakes,NULL,British athlete
Paul Davis,NULL,Sailor
Det de Beus,Utrecht,Field hockey player
Detlef Kästner,{Saxony|Wurzen},Boxer
Diane Dezura,Burnaby,Curler
Djan Madruga,Brazil,Swimmer
Doug Hamilton,NULL,Rower
Rosa Mota,Portugal,Athletics (sport) competitor
Turgut Aykaç,NULL,Boxer
Ulla Salzgeber,Oberhausen,Equestrian
Ute Thimm,NULL,German sprinter
Uwe Bewersdorf,{East Germany|Saxony|Freital},German pair skater
Valentina Skrabatun,Belarus,Rower
Sergei Pavlovich Baltacha,Soviet Union,footballer
Song Xiaobo,NULL,Basketball player
Sophie von Weiler,NULL,Field hockey player
Steve Timmons,Newport Beach California,Volleyball player
Hans Magnus Grepperud,NULL,Rower
Harold Haenel,NULL,Sailor
Heike Schulte-Mattler,NULL,German sprinter
Kriss Akabusi,{London|Paddington},British athlete
Larysa Karlova,Soviet Union,Handball player
Marek Łbik,NULL,Polish canoeist
Margot Foster,NULL,Rower
James Battersby,NULL,Rower
Jan Eriksson,Sweden,Ice hockey player
Dwayne Evans,United States,American sprinter
Eckhard Leue,Magdeburg,Canoe racer
Arto Bryggare,Kouvola,Athletics (sport) competitor hurdler
Barbara Clark,NULL,Swimmer
Anton Steiner,NULL,Alpine skier
Antonina Melnikova,Soviet Union,Canoe racer
Antonina Zelikovich,Ryazan,Russian rower
Pascal Jolyot,France,Fencer
Pascale Trinquet,NULL,French fencer
Piero Rebaudengo,NULL,Volleyball player
Aleksander Cichoń,Rzeszów,Olympic wrestler
Aleksandr Mozhayev,Russia,Fencer
Aletta van Manen,NULL,Field hockey player
Rico Freiermuth,NULL,Bobsledder
Robert McCall,{Nova Scotia|Halifax Nova Scotia},Figure skater
Roberto Tozzi,NULL,Athletics (sport) competitor
Susan Sloan,NULL,Swimmer
Tamara Bykova,Soviet Union,Soviet high jumper
Tapio Sipilä,NULL,Olympic wrestler
Gerhard Kleppinger,{West Germany|Ober-Ramstadt},German footballer and manager
Benni Ljungbeck,Scania,Olympic wrestler
Boris Isachenko,Soviet Union,Archer
Vasil Yakusha,NULL,Belorussian rower
Veryan Pappin,NULL,Field hockey player
Vladimir Aleksandrov,NULL,Bobsledder
Vladimir Koslov,NULL,Bobsledder
Vladimir Yesheyev,Soviet Union,Soviet archer
Volodymyr Bezsonov,Soviet Union,footballer
Jeannie Longo,France,French racing cyclist
Andreas Wenzel,Liechtenstein,Alpine skier
Liu Liping,NULL,Handball player
Frank Mill,{West Germany|Essen},German footballer
Frank Schaffer,NULL,German sprinter
Martin Smith,NULL,Swimmer
Hermann Panzo,NULL,French athlete
Hervé Granger-Veyron,France,Fencer
Christina Lathan,Altdöbern,East German sprinter
Christopher Dean,England,English figure skater
Wendy Weinberg,Baltimore,American swimmer Olympic bronze medalist
José Manuel Abascal,{Cantabria|Alceda},Athletics (sport) competitor
Karen O'Connor,NULL,American equestrian
Kimie Morita,NULL,Volleyball player
Jacques Lüthy,NULL,Alpine skier
Eric Verdonk,NULL,Rower
Ermin Velić,NULL,Handball player
Thomas Eriksson,Sweden,Swedish ice hockey player
Thomas Springel,NULL,Handball player
Tom Erik Oxholm,NULL,Speed skater
Lynn Silliman,Watsonville California,Olympic medalists in rowing
Greet Hellemans,NULL,Rower
Greg Barton,NULL,Olympic canoeist
Greg Johnston,NULL,Rower
Guido Grabow,NULL,Rower
Håkan Södergren,Sweden,Ice hockey player
Yvonne Buter,NULL,Field hockey player
Frode Rønning,Norway,Speed skater
Fyodor Cherenkov,Soviet Union,Russian footballer
Gaby Bußmann,NULL,Athletics (sport) competitor
Gary Abraham,United Kingdom,Swimmer
Patrick Barré,NULL,French athlete
Pelle Lindbergh,Sweden,Swedish ice hockey player
Per Rasmussen,Svendborg,Rower
Peter Allam,United Kingdom,Sailor
Peter Angerer,NULL,German biathlete
Dennis Koslowski,{South Dakota|Watertown South Dakota},Olympic wrestler
Desai Williams,NULL,Athletics (sport) competitor
Robyn Maher,NULL,Basketball player
Roland Wetzig,Oschatz,Bobsledder
Ronald Weigel,NULL,Athletics (sport) competitor
Sören Claeson,Lidköping,Olympic wrestler
Mike Hughes,NULL,Rower
Mircea Fulger,NULL,Boxer
Ursula Konzett,NULL,Alpine skier
Uwe Schwenker,Bremen,Handball player
Vagiz Khidiyatullin,Soviet Union,Russian footballer
Valdemaras Chomičius,Soviet Union,Basketball player
Sergei Alifirenko,NULL,Sport shooter
Seth Bauer,Bridgeport Connecticut,Olympic Rower
Siegfried Roch,NULL,Handball player
Stefano Malinverni,Italy,Athletics (sport) competitor
Stephen Martin,NULL,Field hockey player
Hansjörg Kunze,NULL,Athletics (sport) competitor
Heidi-Elke Gaugel,NULL,German sprinter
Henryk Petrich,NULL,Boxer
Kornelia Kunisch,NULL,Handball player
Ladislav Švanda,NULL,Cross-country skier
Marc Alexandre,NULL,Judoka
Maricel Voinea,NULL,Handball player
Mark Kerry,Temora New South Wales,Australian swimmer
Janusz Pawłowski,Poland,Polish judoka
Janusz Zarenkiewicz,NULL,Polish boxer
Edward Liddie,United States,Judoka
Jovica Nikolić,{Jagodina|Socialist Federal Republic of Yugoslavia},Serbian football player/manager
Jukka Rauhala,NULL,Olympic wrestler
Becky Smith,Vancouver,Canadian wimmer
Anne Jardin,Montreal,Canadian swimmer
Armin Görtz,{West Germany|Dortmund},German footballer
Oleg Zagorodnev,Soviet Union,Russian field hockey player
Orlando Maldonado,NULL,Boxer
Paolo Vecchi,NULL,Volleyball player
Pascal Barré,{Yvelines|Houilles},French athlete
Pascal Boucherit,NULL,Canoe racer
Philippe Boccara,NULL,Canoe racer
Philippe Médard,Meslay-du-Maine,French handball player
Aleksandar Petrović,{Socialist Federal Republic of Yugoslavia|Socialist Republic of Croatia|Šibenik},Croatian basketball player and coach
Aleksandr Goncharov,Soviet Union,Field hockey player
Aleksandr Miasnikov,{Syzran|Samara Oblast},Field hockey player
Aleksandr Sychyov,Soviet Union,Field hockey player
Alexander Belostenny,NULL,Basketball player
Richard Dodds,NULL,Field hockey player
Richard Leman,NULL,Field hockey player
Roberto Manzi,Italy,Italian fencer
David López-Zubero,Syracuse New York,Spanish-American college swimmer international swimmer Olympic bronze medalist swimming coach
Davis Phinney,United States,Road bicycle racer
George Keys,NULL,Rower
Gertrúd Stefanek,Hungary,Fencer
Giancarlo Dametto,Italy,Volleyball player
Giovanni Scalzo,Italy,Fencer
Miyoko Hirose,NULL,Olympic volleyball player
Mykhailo Tyshko,Ukraine,Fencer
Nataliya Matryuk,Soviet Union,Handball player
Beth Heiden,Madison Wisconsin,American speed skater and racing cyclist
Vickey Dixon,NULL,Field hockey player
Walter Pichler,NULL,Olympic Biathlete
Joël Bettin,NULL,Canoe racer
Andrey Luhin,NULL,Rower
Andy Holmes,{Greater London|Uxbridge},Rower
Lesley Thompson,NULL,Rower
Li Kongzheng,{Nanning|Guangxi},Diver
Li Meisu,NULL,Athletics (sport) competitor
Ferdinando Meglio,Italy,Fencer
Florin Mina,Romania,Volleyball player
Franco Bertoli,Italy,Volleyball player
Mats Näslund,Sweden,Ice hockey player
Mauro Zuliani,Italy,Italian sprinter
Nina Fout,United States,Olympic equestrian
Hugh Russell,NULL,Boxer
Ihar Maystrenko,NULL,Rower
Christa Luding,{East Germany|Weißwasser},German racing cyclist
Christian Schreier,{West Germany|Castrop-Rauxel},German footballer and manager
Claudiu Eugen Ionescu,NULL,Handball player
Claus Erhorn,NULL,Equestrian
Saïd Aouita,Morocco,Moroccan runner Olympic and world 5000 m champion
Sabine Becker,Chemnitz,German speed skater
Abdelhak Achik,NULL,Boxer
Colin Beashel,NULL,Sailor
Dagmar Lurz,Germany,German figure skater
Damir Škaro,NULL,Croatian boxer and politician
Jonas Pinskus,NULL,Rower
Jonathan McKee,NULL,Sailor
Josef Reiter,NULL,Judoka
Katalin Tuschák,Hungary,Hungarian fencer
Kathy Johnson,NULL,Gymnast
Katrin Krüger,NULL,Handball player
Iris Völkner,Hamburg,Rower
István Szelei,Hungary,Hungarian fencer
István Udvardi,NULL,Hungarian water polo player
Ivailo Marinov,NULL,Boxer
Ivar Stukolkin,Soviet Union,Swimmer
Ján Franek,NULL,Boxer
Jürgen Schröder,Hamm,Water polo player
Ellen Becker,Duisburg,Rower
Ellina Zvereva,NULL,Belarusian athlete
Thierry Vigneron,NULL,Athletics (sport) competitor
Thomas Rundqvist,NULL,Swedish ice hockey player
Luís Onmura,NULL,Judoka
Ludvík Vébr,NULL,Rower
Lynn Jennings,United States,American long-distance runner
Lynn Kanuka-Williams,NULL,Athletics (sport) competitor
Manfred Nerlinger,{Bavaria|Munich},Olympic weightlifter
Manfred Zielonka,Opole,German boxer
Hagen Stamm,NULL,Water polo player
Hanne Eriksen,Copenhagen,Rower
Yōsuke Yamamoto,NULL,Japanese judoka
Yelena Zhupiyeva-Vyazova,NULL,Ukrainian athlete
Yoko Kagabu,NULL,Volleyball player
Patrick Groc,France,Fencer
Paul MacDonald,NULL,Canoe racer
Perrine Pelen,NULL,Alpine skier
Dennis Stewart,NULL,Judoka
Don Symon,NULL,Rower
Ron Kiefel,Denver,American racing cyclist
Roy Heiner,NULL,Olympic sailor
Michael Jessen,Frederiksberg,Rower
Mike Swain,Elizabeth New Jersey,Judoka
Mirko Bašić,NULL,Handball player
Tomas Jonsson,Sweden,Ice hockey player
Tomislav Ivković,{Socialist Federal Republic of Yugoslavia|Zagreb},Croatian football player/manager
Tommy Samuelsson,Sweden,Swedish ice hockey player
Tonie Campbell,NULL,Athletics (sport) competitor
Tony Willis,England,Boxer
Torben Grael,Brazil,Sailor
Sergei Kopylov,Soviet Union,Soviet racing cyclist
Sergei Ponomarenko,Moscow,Figure skater
Shinji Hosokawa,NULL,Judoka
Hendrik Jan Kooijman,NULL,Field hockey player
Krzysztof Kosedowski,NULL,Polish boxer
Kyoko Ishida,NULL,Volleyball player
Laetitia Meignan,NULL,Judoka
Lars-Gunnar Pettersson,Sweden,Swedish ice hockey player
Lars Nielsen,Copenhagen,Rower
Marcus Mattioli,Brazil,Swimmer
Marek Dopierała,NULL,Polish canoeist
Marieke van Doorn,NULL,Field hockey player
Marius Căta-Chiţiga,Romania,Volleyball player
Marko Elsner,Slovenia,retired Slovenian football player who played the defender position
Jari Kurri,Finland,Ice hockey player
Judy Strong,United States,Field hockey player
Barbara Mensing,NULL,Archer
Barrie Mabbott,NULL,Rower
Annelies Maas,Netherlands,Swimmer
António Leitão,Espinho Portugal,Athletics (sport) competitor
Antoine Richard,NULL,French athlete
Ole Gunnar Fidjestøl,NULL,Norwegian ski jumper
Oleksandr Mantsevych,NULL,Rower
Oleksandr Tkachenko,NULL,Rower
Otakar Janecký,Czechoslovakia,Ice hockey player
Philippe Debureau,NULL,Handball player
Philippe Omnès,France,Fencer
Alexandru Buligan,NULL,Handball player
Rimas Kurtinaitis,Soviet Union,Lithuanian basketball player and coach
Susanne Nielsson,NULL,Swimmer
Sverre Løken,NULL,Rower
Teodora Ungureanu,Romania,Gymnast
Gheorghe Dogărescu,NULL,Handball player
Giovanni Errichiello,Italy,Volleyball player
Mohamed Zaoui,NULL,Algerian boxer
Muhammed Memić,NULL,Handball player
Narcisco Suárez,NULL,Canoe racer
Natalya Anisimova,Soviet Union,Handball player
Nate Carr,NULL,Olympic wrestler
Birgit Treiber,Germany,Swimmer
Branko Miljuš,{Socialist Federal Republic of Yugoslavia|Knin},footballer
Bruce Baumgartner,NULL,Olympic wrestler
Bruno Rossetti,NULL,Olympic bronze skeet shooting
Vanja Gesheva-Tsvetkova,NULL,Canoe racer
Vladimir Dolgov,NULL,Swimmer
Waldo Kantor,NULL,Volleyball player
Wang Yifu,{Liaoning|Liaoyang},Sport shooter
Jean-Luc Thiébaut,NULL,Handball player
Jeff Stork,Longview Washington,Volleyball player
Anders Eldebrink,Sweden,Ice hockey player
Andrea Benelli,Italy,Sport shooter
Andrea Ehrig-Mitscherlich,Dresden,Speed skater
Andreas Thiel,NULL,Handball player
Andrew Astbury,Leeds,Swimmer
Andriy Tishchenko,NULL,Rower
Ljubomir Radanović,{Socialist Federal Republic of Yugoslavia|Cetinje},footballer
Frank Leistra,NULL,Field hockey player
Matthias Jacob,NULL,German biathlete
Mehmed Baždarević,{Socialist Federal Republic of Yugoslavia|Višegrad},Yugoslav footballer
Merlene Ottey,NULL,Athletics (sport) competitor sprinter
Igor Larionov,Soviet Union,Russian retired ice hockey player
Igor Liba,Czechoslovakia,Ice hockey player
Igor Nikulin,Soviet Union,Soviet and Russian hammer thrower
Chris White,NULL,Rower
Christopher Rinke,NULL,Olympic wrestler
Sean Kerly,NULL,Field hockey player
Akinobu Osako,NULL,Judoka
Cameron Henning,NULL,Swimmer
Costicǎ Olaru,NULL,Canoe racer
John Millen,NULL,Sailor
Johnny Gray,NULL,Athletics (sport) competitor middle distance runner
Jonas Narmontas,NULL,Rower
Kathleen McGahey,United States,Field hockey player
Kathy Smallwood-Cook,{Hampshire|Winchester},Athletics (sport) competitor
Kelly McCormick,United States,Diver
Kevin Lawton,NULL,Rower
Kevin Still,NULL,Former American Olympic rower.
Étienne Dagon,NULL,Swimmer
Innocent Egbunike,NULL,Nigerian sprinter
Irfan Smajlagić,NULL,Handball player
István Busa,Hungary,Fencer
Ivan Pudar,{Socialist Federal Republic of Yugoslavia|Zemun},Croatian footballer
János Váradi,Kemecse,Boxer
Jörg Freimuth,NULL,German high jumper
Eric Jespersen,{British Columbia|Port Alberni},Sailor
Esteban Martínez,NULL,Volleyball player
Tetyana Dorovskikh,NULL,Athletics (sport) competitor
Gottlieb Taschler,Rasen-Antholz,Italian biathlete
Gustav Weder,Diepoldsau,Bobsledder
Wolfram Wuttke,{West Germany|Castrop-Rauxel},German footballer
Yang Xilan,NULL,Chinese volleyball player
Yordanka Donkova,NULL,Athletics (sport) competitor
Zlatko Saračević,NULL,Croatian handball player
Gabi Zange,Crimmitschau,German speed skater
Gavin Thredgold,NULL,Rower
Georg Tallberg,NULL,Sailor
Peter Evans,Perth,Australian swimmer
Didier Bouvet,NULL,Alpine skier
Didier Hoyer,NULL,Canoe racer
Didier Vavasseur,NULL,Canoe racer
Dimitrie Popescu,NULL,Rower
Douglas Partie,Santa Barbara California,Volleyball player
Rolando Pušnik,NULL,Handball player
Ross Tong,NULL,Rower
Michael Schulz,Germany,German footballer
Mihai Cioc,NULL,Judoka
Mikael Örn,{Gothenburg|Västra Götaland County},Swimmer
Miloslav Hořava,Czechoslovakia,Ice hockey player
Tony Sharpe,NULL,Athletics (sport) competitor
Tracy Wilson,Lachine Quebec,Figure skater
Ute Oberhoffner,{Thuringia|Ilmenau},Luger
Stephen Batchelor,NULL,British field hockey player
Sterling Hinds,{Ontario|Toronto},Athletics (sport) and football competitor
Steven Wood,NULL,Australian canoeist
Hans Sennewald,Heckelberg-Brunow,Rower
Harriet van Ettekoven,NULL,Rower
Kirsten Emmelmann,NULL,German sprinter
Marc Benninga,NULL,Field hockey player
Maria Filatova,Soviet Union,Gymnast
Marina Logvinenko,NULL,Sport shooter
Marina Znak,NULL,Rower
Marjolein Eijsvogel,NULL,Field hockey player
Dumitru Berbece,NULL,Handball player
Juris Tone,NULL,Bobsledder
Angelo Mazzoni,Italy,Fencer
Anke Behmer,Stavenhagen,German heptathlete
Ansgar Wessling,NULL,Rower
Arístides González,Puerto Rico,Boxer
Oleg Bozhev,NULL,Speed skater
Ralf Sievers,Germany,German footballer
René Klaassen,NULL,Dutch field hockey player
Alain Portes,France,Handball player
Robert Wells,United Kingdom,Boxer
Stjepan Deverić,{Socialist Federal Republic of Yugoslavia|Velika Gorica},Yugoslav/Croatian footballer
Sue Hearnshaw,NULL,British athlete
Sun Xiulan,NULL,Handball player
Daniele Laumann,NULL,Rower
David Mercer,United Kingdom,Weightlifter
Gintaras Krapikas,Soviet Union,Professional basketball player and coach
Myriam Fox-Jerusalmi,Marseille,Canoe racer
Nadia Comăneci,{Socialist Republic of Romania|Onești},Gymnast
Nancy Garapick,{Nova Scotia|Halifax (former city)},Canadian Olympic swimmer
Natalia Shaposhnikova,NULL,Gymnast
Ben Johnson,Jamaica,Athletics (sport) competitor
Ben Spijkers,NULL,Judoka
Bernd Dittert,{East Germany|Genthin},German racing cyclist
Bill Scherr,United States,Olympic wrestler
Blyth Tait,NULL,Equestrian
Brad Gilbert,Oakland California,Tennis player
Brenda Stauffer,United States,Field hockey player
Brian Diemer,NULL,Athletics (sport) competitor
Britt Pettersen,NULL,Cross-country skier
Calvin Smith,Bolton Mississippi,Runner
Vaughn Jefferis,NULL,Equestrian
Veselin Vujović,NULL,Handball player
Vida Vencienė,Soviet Union,Cross-country skier
Viktor Deputatov,Soviet Union,Field hockey player
Wang Mingxing,NULL,Handball player
Jette Sørensen,Odense,Rower
Jill Sterkel,Hacienda Heights California,American swimmer Olympic gold medalist former world record-holder college swimming coach
Jožef Holpert,NULL,Handball player
Anders Järryd,{Lidköping|Sweden Davis Cup team},Tennis player
Andrés Simón,NULL,Athletics (sport) competitor
Andrew Nicholson,NULL,Equestrian
Li Lan,NULL,Handball player
Liu Yumei,NULL,Handball player
Fatima Whitbread,NULL,British athlete; former javelin thrower
Frédéric Perez,NULL,Handball player
Mary King,Newark-on-Trent,British equestrian sportswoman
Mary Nevill,NULL,Field hockey player
Nicolette Hellemans,NULL,Rower
Hidde Kruize,NULL,Field hockey player
Ian Edmunds,NULL,Rower
Ian Wright,NULL,Rower
Christa Kinshofer,NULL,Alpine skier
Chun Chil-Sung,NULL,Boxer
Sabine Everts,NULL,Athletics (sport) competitor
Sandra Jenkins,{Alberta|Fort Saskatchewan},Curler
Sandy Lister,NULL,Field hockey player
Santiago Lange,NULL,Sailor
Adrian Simion,NULL,Handball player
Agneta Andersson,NULL,Canoe racer
Akira Kuroiwa,NULL,Japanese speed skater
Catharina Neelissen,NULL,Rower
Werner Günthör,NULL,Athletics (sport) competitor
Clyde Hefer,NULL,Rower
Craig Muller,NULL,Rower
Daniel Castellani,NULL,Volleyball player
Jon Uriarte,NULL,Volleyball player
Jonathan Smith,NULL,Olympic medalist in rowing
Karin Enke,{East Germany|Dresden},Speed skater
Katrin Dörre-Heinig,NULL,Athletics (sport) competitor
Kayoko Sugiyama,NULL,Volleyball player
Ken Wark,NULL,Field hockey player
Kim Jin-Ho,NULL,Olympic medalist in archery
Kim Turner,NULL,Athletics (sport) competitor
Éva Rakusz,NULL,Canoe racer
Jörg Vaihinger,NULL,German sprinter
Jack Pierce,NULL,American sprint hurdler
Jackie Joyner-Kersee,East St. Louis Illinois,Athletics (sport) competitor multi-event heptathlete long jumper hurdler
Emiko Odaka,NULL,Volleyball player
Ernst Reiter,NULL,German biathlete
Thomas Jefferson,NULL,Athletics (sport) competitor
Thomas Lejdström,{Västmanland|Västerås},Swimmer
