name,nationality,sport
Hussein Ahmed Salah,Ali Sabieh,Long-distance runner from Djibouti
Christine Errath,{Berlin|East Germany},German figure skater
Christine Larson-Mason,United States,Field hockey player
Claudia Wunderlich,NULL,East German handball player
Ace Rusevski,{Socialist Federal Republic of Yugoslavia|Kumanovo},Boxer
Cees Jan Diepeveen,NULL,Field hockey player
Wendy Hogg,NULL,Swimmer
Dag Otto Lauritzen,Norway,Norwegian racing cyclist
Joni Huntley,NULL,American Olympic athlete
Ştefan Rusu,NULL,Olympic wrestler
Ingrid Auerswald,NULL,Athletics (sport) competitor
István Lévai,NULL,Boxer
Ivan Lebanov,NULL,Cross-country skier
Jüri Tamm,Estonia,Athletics (sport) competitor hammer thrower Estonian politician
Luis Delís,NULL,Athletics (sport) competitor
Grigory Verichev,Soviet Union,Judoka
Wolfgang Hoppe,{Thuringia|Apolda},Bobsledder
Wu Xingjiang,NULL,Chinese handball player
Xu Haifeng,NULL,Chinese sport shooter
Yumi Maruyama,NULL,Volleyball player
Gail Amundrud,Canada,Canadian Swimmer
Paul Frommelt,NULL,Alpine skier
Payao Poontarat,Thailand,Boxer Politician
Dirk Rauin,NULL,Handball player
Rudolf Bommer,{West Germany|Aschaffenburg},German football player and manager
Michael Anthony,NULL,Boxer
Michel Poffet,NULL,Fencer
Mircea Bedivan,NULL,Handball player
Mircea Frăţică,NULL,Judoka
Véronique Brouquier,France,Fencer
Valentin Silaghi,NULL,Boxer
Valeria Răcilă,NULL,Rower
Sergei Pleshakov,Soviet Union,Field hockey player
Sergei Zhelanov,NULL,Soviet decathlete
Stephen Calder,NULL,Sailor
Harald Lückner,Sweden,Swedish ice hockey player
Harald Schmid,NULL,German sprinter and hurdler
Herbert Bauch,NULL,Boxer
Kyoji Yamawaki,NULL,Japanese gymnast
Marek Seweryn,NULL,Weightlifter
Marianna Nagy,Hungary,Hungarian handball player
James Duthie,NULL,Field hockey player
Jan Mathiasen,NULL,Sailor
Jayne Torvill,NULL,Figure skater
Dugarsürengiin Oyuunbold,NULL,Olympic wrestler
Dumitru Cipere,NULL,Boxer
Duncan Goodhew,Marylebone,British swimmer
Johann Riederer,NULL,Sport shooter
John Beattie,United Kingdom,Rower
Bärbel Köster,NULL,Canoe racer
Anette Bøe,NULL,Cross-country skier
Anne Quist,NULL,Rower
Arnulf Meffle,NULL,Handball player
Philippe Riboud,France,Fencer
Aleksandr Puchkov,NULL,Athletics (sport) competitor
Alexander Dityatin,Soviet Union,Gymnast
Rinat Dasayev,Soviet Union,Soviet footballer
Robert Mills,NULL,Rower
David Weller,Jamaica,Jamaican racing cyclist
Gheorghe Covaciu,NULL,Handball player
Gianfranco Dalla Barba,Italy,Fencer
Gina Smith,Saskatoon,Olympic medalist in equestrian
Beth Beglin,Teaneck New Jersey,Field hockey player
Bill Forrester,Darby Pennsylvania,American swimmer Olympic bronze medalist former world record-holder
Birgit Heinecke,NULL,Handball player
Bodil Rasmussen,Fredericia,Rower
Bogdan Musiol,Silesia,Bobsledder
Brigitte Latrille-Gaudin,France,Fencer
Vasile Oprea,NULL,Handball player
Vasile Stîngă,NULL,Handball player
Viktor Kokoshyn,NULL,Rower
Vladimir Pleshakov,Soviet Union,Field hockey player
Walter Carmona,NULL,Judoka
Alwyn Morris,{Kahnawake|Montreal|Quebec},Canoe racer
Martin Cross,United Kingdom,Rower
Nicu Stoian,NULL,Volleyball player
Nikolay Kirov,NULL,Athletics (sport) competitor
Ian McNuff,United Kingdom,Rower
Charlotte Bredahl,Copenhagen,Olympic medalist in equestrian
Charlotte Koefoed,NULL,Rower
Christina Seufert,Sacramento California,Olympic diver
Christine Traurig,Lower Saxony,Olympic medalist in equestrian
Christopher Cairns,NULL,Sailor
Sabine Röther,NULL,Handball player
Adam Robak,Poland,Polish fencer
Aki Karvonen,NULL,Cross-country skier
Carlo Massullo,NULL,Modern pentathlete 1984 Olympic team gold 1988 team & individual silver 1992 team bronze
Charlene Morett,United States,Field hockey player
Wiljon Vaandrager,NULL,Rower
