"","dataset","Sport"
"853","DBPedia","Volleyball"
"854","DBPedia","Field hockey"
"855","DBPedia","Handball"
"856","DBPedia","Volleyball"
"857","DBPedia","Ice Hockey"
"858","DBPedia","Handball"
"859","DBPedia","Volleyball"
"860","DBPedia","Basketball"
"861","DBPedia","Volleyball"
"862","DBPedia","Volleyball"
"863","DBPedia","Ice Hockey"
"864","DBPedia","Volleyball"
"865","DBPedia","Handball"
"866","DBPedia","Volleyball"
"867","DBPedia","Handball"
"868","DBPedia","Volleyball"
"869","DBPedia","Ice Hockey"
"870","DBPedia","Basketball"
"871","DBPedia","Volleyball"
"872","DBPedia","Basketball"
"873","DBPedia","Field hockey"
"874","DBPedia","Field hockey"
"875","DBPedia","Volleyball"
"876","DBPedia","Volleyball"
"877","DBPedia","Basketball"
"878","DBPedia","Handball"
"879","DBPedia","Volleyball"
"880","DBPedia","Ice Hockey"
"881","DBPedia","Field hockey"
"882","DBPedia","Basketball"
"883","DBPedia","Ice Hockey"
"884","DBPedia","Ice Hockey"
"885","DBPedia","Volleyball"
"886","DBPedia","Ice Hockey"
