"","dataset","Sport"
"747","DBPedia","Volleyball"
"748","DBPedia","Basketball"
"749","DBPedia","Ice Hockey"
"750","DBPedia","Ice Hockey"
"751","DBPedia","Volleyball"
"752","DBPedia","Basketball"
"753","DBPedia","Field hockey"
"754","DBPedia","Ice Hockey"
"755","DBPedia","Ice Hockey"
"756","DBPedia","Handball"
"757","DBPedia","Handball"
"758","DBPedia","Basketball"
"759","DBPedia","Field hockey"
"760","DBPedia","Handball"
"761","DBPedia","Volleyball"
"762","DBPedia","Volleyball"
"763","DBPedia","Field hockey"
"764","DBPedia","Handball"
"765","DBPedia","Ice Hockey"
"766","DBPedia","Volleyball"
"767","DBPedia","Ice Hockey"
"768","DBPedia","Handball"
"769","DBPedia","Ice Hockey"
"770","DBPedia","Ice Hockey"
"771","DBPedia","Handball"
"772","DBPedia","Ice Hockey"
"773","DBPedia","Handball"
"774","DBPedia","Volleyball"
"775","DBPedia","Handball"
"776","DBPedia","Basketball"
"777","DBPedia","Basketball"
"778","DBPedia","Volleyball"
"779","DBPedia","Ice Hockey"
"780","DBPedia","Volleyball"
"781","DBPedia","Ice Hockey"
"782","DBPedia","Handball"
"783","DBPedia","Volleyball"
"784","DBPedia","Field hockey"
"785","DBPedia","Field hockey"
"786","DBPedia","Handball"
"787","DBPedia","Ice Hockey"
"788","DBPedia","Handball"
"789","DBPedia","Handball"
"790","DBPedia","Ice Hockey"
"791","DBPedia","Volleyball"
"792","DBPedia","Volleyball"
"793","DBPedia","Handball"
"794","DBPedia","Handball"
"795","DBPedia","Basketball"
"796","DBPedia","Ice Hockey"
"797","DBPedia","Basketball"
"798","DBPedia","Handball"
"799","DBPedia","Handball"
"800","DBPedia","Volleyball"
"801","DBPedia","Ice Hockey"
"802","DBPedia","Ice Hockey"
"803","DBPedia","Ice Hockey"
"804","DBPedia","Volleyball"
"805","DBPedia","Volleyball"
"806","DBPedia","Handball"
"807","DBPedia","Handball"
"808","DBPedia","Volleyball"
"809","DBPedia","Ice Hockey"
"810","DBPedia","Volleyball"
"811","DBPedia","Basketball"
"812","DBPedia","Basketball"
"813","DBPedia","Ice Hockey"
"814","DBPedia","Ice Hockey"
"815","DBPedia","Basketball"
"816","DBPedia","Volleyball"
"817","DBPedia","Volleyball"
"818","DBPedia","Volleyball"
"819","DBPedia","Volleyball"
"820","DBPedia","Basketball"
"821","DBPedia","Basketball"
"822","DBPedia","Handball"
"823","DBPedia","Volleyball"
"824","DBPedia","Volleyball"
"825","DBPedia","Volleyball"
"826","DBPedia","Basketball"
"827","DBPedia","Basketball"
"828","DBPedia","Field hockey"
"829","DBPedia","Basketball"
"830","DBPedia","Volleyball"
"831","DBPedia","Handball"
"832","DBPedia","Volleyball"
"833","DBPedia","Handball"
"834","DBPedia","Basketball"
"835","DBPedia","Ice Hockey"
"836","DBPedia","Handball"
"837","DBPedia","Basketball"
